y,pred,err_abs,err,age,desc_len,sentiment,pos_words,neg_words,_geography,_price
85,92.01263,7.012626647949219,-7.012626647949219,8,296,0.4435,1,0,91.33333333333331,4.718498871295094
80,86.48733,6.487327575683594,-6.487327575683594,3,134,0.5499,1,0,89.24025974025975,2.8903717578961645
85,91.308174,6.308174133300781,-6.308174133300781,4,302,-0.2057,0,0,91.8181818181818,3.670760965471141
82,88.251305,6.251304626464844,-6.251304626464844,5,193,0.3919,1,0,88.73794002607563,3.912023005428147
80,85.96578,5.965782165527344,-5.965782165527344,8,144,0.0,0,0,89.12214983713353,3.4657359027997265
85,90.903206,5.903205871582031,-5.903205871582031,7,267,0.8885,3,0,89.492,3.990019468618185
84,89.81151,5.8115081787109375,-5.8115081787109375,7,202,0.91,2,1,89.12214983713353,3.688879454113936
85,90.08808,5.088081359863281,-5.088081359863281,8,266,0.9184,4,0,86.80952380952381,4.07753744390572
86,90.86777,4.867767333984375,-4.867767333984375,7,179,0.9393,5,0,89.97413793103449,4.276666119016055
82,86.78222,4.782218933105469,-4.782218933105469,19,302,0.0,0,1,89.06329113924049,2.772588722239781
