y,pred,err_abs,err,age,desc_len,sentiment,pos_words,neg_words,_geography,_price
96,91.676476,4.323524475097656,4.323524475097656,9,441,0.25,1,0,88.92435424354244,3.912023005428147
92,87.67079,4.3292083740234375,4.3292083740234375,10,210,0.5569,2,0,89.12214983713353,3.4011973816621555
95,90.64108,4.358917236328125,4.358917236328125,9,401,0.0,0,0,88.02439024390246,4.007333185232471
92,87.5413,4.458702087402344,4.458702087402344,9,184,0.7645,1,0,89.12214983713353,3.4011973816621555
93,88.42529,4.57470703125,4.57470703125,2,219,0.5994,1,0,87.8888888888889,3.218875824868201
92,87.412834,4.587165832519531,4.587165832519531,9,179,0.7003,2,0,88.74358974358972,3.0445224377234235
92,87.21136,4.788642883300781,4.788642883300781,17,267,0.9062,3,0,85.89005235602096,2.7080502011022096
90,85.12159,4.878410339355469,4.878410339355469,6,237,0.0,0,0,84.36363636363636,2.9957322735539913
92,86.53414,5.465858459472656,5.465858459472656,6,309,0.0,0,0,85.66666666666667,3.218875824868201
94,88.17987,5.82012939453125,5.82012939453125,8,208,0.0,0,0,88.56603773584905,4.382026634673881
